,date,helpful,name,rating,review_body,review_title
0,20 September 2018,227 people found this helpful,Rose,2.0 out of 5 stars,"Except the front camera, there is nothing that is good about the mobile , charge doesn't stay for, the screen is too bad screen touch is bad, 128 gb space but still phone hangs several times, having issues to answer calls, waste of money....
","Please do not waste your money buying this phone..
"
1,18 November 2018,136 people found this helpful,nirvan,5.0 out of 5 stars,"All in all the phone is a good buyPros:Excellent Picture quality,Resolution of mobile is charm with Notch displaySound Quality is fine considering location of speaker on device.Battery is the only Con for this as due to high resolution display and background app power consumption drainage is quick.Overall a good buy !!
","Mobile Phone for average user
"
2,27 October 2018,133 people found this helpful,Vaseem Mirza,5.0 out of 5 stars,"Nice pick under this price range. Finger Print Sensor and Face Unlock Feature are very fast and accurate. Even works in low light. Camera Quality is also very nice. Please go for the product. 5 Star from my side.
","Every thing is perfect.
"
3,10 May 2019,41 people found this helpful,VIMAL GADHIYA,3.0 out of 5 stars,"I purchased honor 9n 4 gb ram and 64 gb internal storage phone in rupees 8550 during the summer sale.Friends the camera a quality is very poorBut it is a very good product and great value for money.
","Good luck and bugget mobile.
"
4,3 February 2019,33 people found this helpful,kamal deep,1.0 out of 5 stars,"Do not support dual volte active standby. No updates also making this product obsolete. So no point in purchasing as the cheaper ones support that
","No active dual volte standby
"
5,26 May 2019,27 people found this helpful,Amazon Customer,1.0 out of 5 stars,"Worst purchase ever..Actually I bought this phone during some offers n I guess they send me rejected device as the battery drains drastically without any usage n the phn gets heated up when connected to charging..Already complained the customer care they carried out some tests which are of no use..Im using it I can feel how it's heating n Al other issues but they from the other end says everything is ok..Worst purchase ever..Amazon loosing customers trust..I wish amazon understand this n provide me a refund..
","Waste of money..
"
6,27 May 2019,17 people found this helpful,tvipinchand,4.0 out of 5 stars,"Hello All,If you are interested in Buying a Honor 9N this will be useful.I am writing this review after three days of usage.Size:The mobile is so handy, this is the first reason I preferred to buy this mobile. I do not like handsets that are huge sized.Camera:Front Facing camera does a wonderful job even under dim light condition compared to the price of the device.Rear facing camera struggles a lot to capture good shots even in bright light. I was using a Mi A1 before this may be this made me think in this way.Battery:So far so good, it lasted more than 24 hours with normal social media usage, I am not a pro user to check with games.Build Quality:Built Quality is excellent, gives us a premium feel.Fingerprint and Face-unlockBoth works so good, the response time is comparatively less with the budget phones.Overall ratting would be 3.5/5.I will include comments later on if there is some issues. Stay Tuned.
","Handy Budget Smartphone
"
7,31 January 2019,22 people found this helpful,Fahad Rasheed,3.0 out of 5 stars,"1.Battery charge losing fastly.2.Camera quality is excellent.3. Price s are different from diff merchants.Will get confused about its price .
","Can Make good selfies.
"
8,11 May 2019,19 people found this helpful,Mithlesh Choudhary,4.0 out of 5 stars,"as per policy headphones not providing all are good
","some items are missing
"
9,7 December 2018,17 people found this helpful,Akhika,5.0 out of 5 stars,"Super phone, easy to handle, lovely color and fast.
","Super!
"
10,10 November 2018,16 people found this helpful,Madhumita dey,5.0 out of 5 stars,"phone camera is awesome
","best phone
"
11,6 October 2018,13 people found this helpful,Dr.M.Ruhani,4.0 out of 5 stars,"Go on
","Good phone in cheap price
"
12,25 September 2018,14 people found this helpful,RAJASREE.P,5.0 out of 5 stars,"Excellent set
","Awsome
"
13,12 December 2018,13 people found this helpful,Suggestion ,5.0 out of 5 stars,"Good
","Amazon 0% EMI cheated
"
14,22 October 2018,14 people found this helpful,urmila yadav,1.0 out of 5 stars,"I have purchased 2qty, but received only one.
","poor
"
15,16 October 2018,11 people found this helpful,Ranjeet singh,5.0 out of 5 stars,"Good phone using frm last 6 month
","Nice phone
"
16,26 June 2019,8 people found this helpful,Upendra,5.0 out of 5 stars,"The design of mobile is very attractive with beautiful back panel, front camera is satisfying and rear camera is for photo lovers. Face unlock and finger print reader are very spontaneous, screen size is satisfactory. Value for money. Honor has done a great work. Keep it up.
","Just like my dream mobile
"
17,4 October 2018,12 people found this helpful,Shoibu kallatra,4.0 out of 5 stars,"Stylish look and  performance is superb. NO headphone.....
","Stylish with latest features
"
18,8 October 2018,11 people found this helpful,rajat yadav,5.0 out of 5 stars,"Like my dream phone, perfect phone that i was looking about, no cons exept one, and that is battery, it could be more powerful. Overall perfect phone for everyone wants the phone for daily purposes. No major flaws
","Beautifuly designed, perfect size phone
"
19,4 June 2019,6 people found this helpful,ARPIT SINGH,5.0 out of 5 stars,"This mobile phone is really good especially for gamers, battery thinkers, camera lovers and design lovers. In one word totally paisa wasool. If we comparing it others phones like redme, real me, Samsung, oppo worth rupees 15k. This mobile is best go for it.... Thanks Huawei for such a phone in this budget.
","Honor vs others
"
20,20 May 2019,7 people found this helpful,Santosh Bhadsange 8796858468,1.0 out of 5 stars,"Worst product have a problem with basic need like the lot of disconnects in voice callsSome it don't catch the rangeWhen have full network then also send signal as not reachbleSame sim is working properly on other device
","Worst phone do go for this
"
21,1 April 2019,8 people found this helpful,Dobariya Ankur,5.0 out of 5 stars,"Amazing workingExcellent performance
","Amazing phone
"
22,30 May 2019,6 people found this helpful,Nagaraju,4.0 out of 5 stars,"After using for 1 week, this are few points I observed :1.Clearly of video during What'sapp video call is poor. Tried with other 8 mp front cam mobiles video was clear.2.Phone gets heated during video calls and playing simple games like candy crush.3. Battery life is only for 1 day hardly.4. I wish the headset connect point was on top of mobile rather than bottom.+ve points:1. Battery charging is fast2. Finger sensitive super3.face detection super4.other features are good.
","Value for money
"
23,24 May 2019,3 people found this helpful,Pradip das gupta,5.0 out of 5 stars,"Things I loved :-Its design and looksIt's back glass look and blue colour looks osm,It's osm front and back camera with portrait on both and AR also,it's Kirin processesor was quite fantastic and huge storage capacity,it's fingerprint is very fast and face unlock also works in no light i love everything about this phone except one thing it's battery drain was fast it should have a 3,500/4,000 mah battery in it except this every this is quite brilliant and also Huawei also gave some good apps to take good care of their owner health in this phone
","Lovely things of this mobile are it's,camera,RAM,ROM, external storage,processor, design & looks etc
"
24,11 July 2019,6 people found this helpful,pinku roy,1.0 out of 5 stars,"Don't buy any mobile phones from AMAZON. They have changed return policy and now even phones with major issues also deny replacement. It have hi temperature issues very easily even after 15 minutes of online video but CALLING SO MANY TIMES NOT A LITTLE CONCERN SHOWN TO CUSTOMER. VERY UPSETTING EXPERIENCE.
","VERY UPSETTING EXPERIENCE WITH AMAZON
"
25,24 June 2019,4 people found this helpful,Amazon Customer,1.0 out of 5 stars,"Worst phone ever. Its getting hanged on startup menu only. Tried many times to restart it.. then also it gets sticks on last menu. Tried to replace in Amazon. But they are showing different options to download some app & phone is also not getting connected.Worst product & worst service from amazon
","Worst product
"
26,7 July 2019,2 people found this helpful,Harsh,5.0 out of 5 stars,"Camera quality is very great. Premium user interface 😍. Super fast face recognition and fingerprint scanner. Greatest phone in ₹9,000. Full hd + display. Super fast gamming experience. Mic is also very premium. Great for TikTok and Pubg❤️. I charge it for 2 hours in morning and 1 hour in evening. Enough battery for me💪. 4gb ram in 9,000. Wow.... I got best probuct in ₹9,000🤩. Honor is much better than oppo, vivo and samsung.👌⚡⚡Thank you amazon.😊😘😘😘
","Best product in ₹9,000. Thank you so much Amazon.
"
27,31 May 2019,3 people found this helpful,sm rafi,3.0 out of 5 stars,"128gb at 12k definitely good value for money. Performance - brilliant with high clocked processor. Nice latest trending features.Well built but don't know what they planned regarding battery backup. For me, as a heavy user, my 2 yrs old note4 lasts 25-30 hours in hand but this brand new hot piece drops from 100% to 10% in just 18-20 hours even with power saver on. And exhibits a few degrees of temperature over other phones. Two main solutionless losses to you if u take it:Overheating problem- no one at service centre gonna believe.Bad battery backup- they will compare with cheap china mobiles and prove good.Rest all very nice.
","Overall fair.
"
28,27 June 2019,3 people found this helpful,Jai P.,1.0 out of 5 stars,"Please don't purchase this phone because hanging problem in this product. After two days phone hanged 2-3 times .when I requested for replacement there are no answer and after two days my ticket for replacement closedOverall please don't go with this
","Hanging p4oblen after two days
"
29,21 June 2019,5 people found this helpful,Febin,5.0 out of 5 stars,"Having Good specs and  value for money , delivered by amazon on the correct date , packed well
","Nice
"
30,30 November 2018,5 people found this helpful,Emmanuel Anand,4.0 out of 5 stars,"Good phone at this price.
","Good phone at this price.
"
31,29 June 2019,2 people found this helpful,Syed Naushad Ahmad,4.0 out of 5 stars,"It's an average phone feature wise... Look wise it deserves 5 star... Issue about this phone is single 4g support.. which means if you are having one jio sim and tries to use data from another sim (non jio) then jio sim will not be working... If you have 2 sim both are jio then 1 sim will be permanently useless... Other things are fine... Night mode camera is something which needs improvement... There is no slow motion option... Phone speed is awesome...
","Average phone
"
32,15 May 2019,One person found this helpful,Pratham kakkad,4.0 out of 5 stars,"Talking about the phone. The looks are really good and cool.The back cover given is average. The but quality of cover is excellent but the rate of damage is very fast.About camera,Camera is really good but not polished in portrait mode. The sensors of back camera cannot judge the outlines of the model accurately. But this issue can be fixed with a software update. Wishing soon...For battery 3/5The battery discharges quickly and also the charger is very slow.The phone is really very fast to use.
","Overall as per my experience,4/5. A decent phone.
"
33,24 October 2018,6 people found this helpful,Amazon Customer,3.0 out of 5 stars,"Poor battery life. Other than this one -ve, rest all is good in this phone.
","Poor battery life
"
34,27 May 2019,One person found this helpful,abhishek,5.0 out of 5 stars,"If you are not travelling too much then this phone will be best under 10k. As it takes almost 2 hour or little more to full charge.Rest everything is awesome in this phone.Camera: Good qualityLook: Awesome (handy)Display: Cool, Also have lots of themes to chooseBattery backup: AverageGood processing and one can use lag free.No heating problem on average use and audio quality is also good
","Best phone for home user
"
35,2 July 2019,One person found this helpful,KT,4.0 out of 5 stars,"Got it on offer for 9000/-. So far happy with the product except the camera quality.Camera: Back camera is not up to the mark. Front camera is decent.Battery life: Pretty good, stays more than one day with regular use with mobile data on.Aesthetic: Good finish and looks premium. Screen size is quite optimum, and hence quite handy.Finger print scanner: Works perfectly.
","Value for money
"
36,31 May 2019,One person found this helpful,Knightro Streamer,4.0 out of 5 stars,"Nice classy lookDecent os and memory managementLight weightVery fast face unlockCons:Very very very poor battery life. It is taking almost 2hr to charge fullyLagging a bit when multiple windows are openCamera is not good at all mainly rear camera. Pictures lookes like artificial water colored. Yet focus is fast. Front camera will make you look like a beauty queen or king.Micro usb charger. Where others giving usb type c.
","Poor battery management
"
37,15 May 2019,2 people found this helpful,Varun Sharma,3.0 out of 5 stars,"Phone is good in this price but bettery is very bad.&, flipkart is selling this in lower rates, At 8100₹. This is embarrassing for ur customers.
","Product is Ok. 3.5 stars
"
38,14 May 2019,4 people found this helpful,chaitanyanand m.,4.0 out of 5 stars,"Over all it's good but battery is not ok.
","Budget mobile
"
39,11 July 2019,,neyaz,4.0 out of 5 stars,"Good product. Only one thing is missing that when I raise my mobile it does not automatically detect my face. So using fingerprint is easier to unlock. Front camera quality is best. I am satisfied with the product.
","Best product in this range.
"
40,23 June 2019,,Sachin Shinde,5.0 out of 5 stars,"Probably the best priced phone available in this category with all features loaded.  Add to that the great processing size (4GB) and you have the best phone in this price range.  No frills added phone with the capability to do much more.
","Honor 9N (Blue, 4GB RAM, 64GB )
"
41,12 June 2019,,Amazon Customer,5.0 out of 5 stars,"Excellent phone in low cost, All are fine (camera, apps screen etc), Only one concern is curved glass as we cant place normal full size gorilla glass cover on the top, If glass covers totally back cover push it out
","Nice phone honor 9N
"
42,4 July 2019,3 people found this helpful,priyadalu,1.0 out of 5 stars,"Am I feeling in my lifes worst phone is this one really the Camara was badbattery was badEven can't us 4g network properlyIt's was hangEven the amazon peoples are didn't take my complaintAn I try replac but the amazon customer service didn't earing my voice
","Bad experience honor 9n
"
43,10 June 2019,2 people found this helpful,Prakash F,4.0 out of 5 stars,"I bought this phone on june2019, I come to know that google has banned honor mobiles. Whats the solution for it ? will honor come back with android/google or it will create a new software ? Hope Honor won't fail to support. Shall I return(not replace) the product ?
","Google restriction will make this phone idle/non-workable ?
"
44,14 July 2019,,sibin,2.0 out of 5 stars,"Gud selfie.....Battery mediumDesign awesomeBuild quality like premium  ButProcessor worst worst work full of hanging issue unable to play pupg.... Hd mode not available...  Worst processor tooo slow
","Not like this processor
"
45,23 February 2019,6 people found this helpful,SHAILESH GHANSELA,1.0 out of 5 stars,"Amazon cheated
","Waste of money
"
46,22 May 2019,2 people found this helpful,Nandhu,5.0 out of 5 stars,"All features are very good
","Awesome
"
47,27 June 2019,One person found this helpful,Mohammad Fahad,5.0 out of 5 stars,"Huawei is so awesome i love Huawei .. beey smooth touch fast processing  good battery and Honor Huawei always makes looks so good.. looks so cool..
","Awesome purchase Awesome Mobile.
"
48,11 May 2019,One person found this helpful,Amazon Customer,5.0 out of 5 stars,"You are fade up with MI this is best phone to buy I just got in 8.5 kGood camera excellent display...battery is good ...if you are game lover don't go for this...for normal use battery stands one day...Value for money
","Excellent Phone
"
49,21 June 2019,One person found this helpful,Ashutosh Kumar,2.0 out of 5 stars,"This phone is not so smooth in functioning given its 4 gb ram and 64 gb internal memory.Also today we are getting dedicated memory card slots with other brands which is not available in this.You can expect larger display dimensions at 10k, so its another demerit of phone.
","Not smooth functioning even with 4 gb ram. Display needs to be larger.
"
50,13 May 2019,2 people found this helpful,Jazz Paul,2.0 out of 5 stars,"I just received my mobile. It is mentioned in the box that 1 headset is there which is missing
","Headset missing
"
51,28 June 2019,,shreekant jadhav,5.0 out of 5 stars,"the only thing I hate about is I got a smartphone which work's fine. but there's a unknown particle inside my rare camera which make's me very unsatisfied rest all work's well and good the phone performance is awesome the features of the phone is advanced. but only I hate is that particle that eat's me a lot.
","honor 9n is awesome
"
52,1 July 2019,,Karthikeyan M A,1.0 out of 5 stars,"I brought this phone from half interest as there were much negative feedback. Still I ordered this phone for cheap price but this piece is not worth for money. I got phone without sim slot and its Indian made product. Camera is not upto the mark. Battery limited for one day. No fast charging
","Not worth for money
"
53,21 July 2019,,navdeep ambastha,4.0 out of 5 stars,"First time I tried Honor Product and yes the device is awesome. As it is midrange phone and the features they have given is recommendable.Only drawback is the battery life although some how I manage the device to run for a day but still Honor can work on the battery part.
","A waow phone with waow features
"
54,7 July 2019,,Venkateswara reddy,3.0 out of 5 stars,"I need to return the product called to customer care they are saying not possible retun only replacement possible that is also with same mobile replacement... It's not a fare... I need to retun the product... Kindly arrange otherwise I will complaint against this
","Not fare
"
55,2 June 2019,One person found this helpful,Dimpi verma,1.0 out of 5 stars,"I don't like this product. Don't waste your money to purchase this product. Slow charging. Hang sometimes.Not even they give  return policy. So don't purchased it from amazon too.
","Bad product
"
56,28 June 2019,,Vijayasaravanan,4.0 out of 5 stars,"As of now it's 45 days, it's OK. When using single SIM Slot. Long battery life with Location and Mobile Data ""Always On"" Mode. Face Unlocking seems fine. 128GB RAM enough till date. Sometimes voice not fair/audible enough while in conversation.
","OK
"
57,12 June 2019,,KHUSHAL S.,3.0 out of 5 stars,"camera quality --so goodprocessor---- quit slow but goodbattery life--- not very goodMajor problem is about processingBut in this price phone is best
","overall phone is good
"
58,18 January 2019,One person found this helpful,deepesh Sharma,1.0 out of 5 stars,"Worst purchase ever from amazon disappointed with honor in just 6 months the phone feels like it is 2 3 years used
","Do not buy honor 9n
"
59,21 July 2019,,Ajay Pandey,4.0 out of 5 stars,"Pros.1.nice camera2.the processors is also goodIt does not hang or lags3.sufficient internal memoryCons.1. the battery backup is not very well this will annoy you the most2.it does not support 4g simultaneously in both slot
","Excellent phone except for battery backup
"
60,28 May 2019,,Manpreet Singh,4.0 out of 5 stars,"Processing is 9/10Design is 10/10Sensors are 10/10Cameras are 8/10Battery is 8/10Overall good mobil in this range.Specially thanks to amazon for quick delivery service, delivered with in 20 hours from when i placed order.
","Amazing Mobil with In low price range.
"
61,16 July 2019,One person found this helpful,Shobhit Goyal,1.0 out of 5 stars,"whenever we try to have a voice call, neither we nor the other person is able to listen voice properly. Also the mic of the phone is not good. Kindly change our product
","It is a complete blunder product
"
62,24 June 2019,,Neeraj Bangera,5.0 out of 5 stars,"Got it for my mom. She was really impressed with it especially since she's never heard of the Honour brand. But this phone turned out to be a winner!
","Nice phone.
"
63,9 January 2019,3 people found this helpful,Varaprasad,4.0 out of 5 stars,"good
","excellent
"
64,22 June 2019,,sharif Khan,5.0 out of 5 stars,"It's really goodGet Sim slot open pin, travel adopter, data cable, user guide, warranty card & back cover too😃Good packingBetter delivery...
","As usual..
"
65,19 June 2019,,Ramesh,5.0 out of 5 stars,"If you have used wide screen phone before buying this phone, it will be bit difficult to typing text in this phone.Coming to camera, picture will be blurred if you take snap of little moving object also.
","Value for money
"
66,24 July 2019,,Amazon Customer,5.0 out of 5 stars,"Camera quality : ExcellentBattery life : One full dayLook : slim and gorgeous in black colour
","Awesome device from Honor
"
67,6 July 2019,,Narendr Rawat,4.0 out of 5 stars,"Good looksThe phone is any Bluetooth device not connected but OK
","Good
"
68,1 August 2019,,Evanjaline,5.0 out of 5 stars,"Bought this for my aunt. She is simply enjoying it. Easy to handle, Cost effective and stylish.
","Great phone
"
69,25 July 2019,,KV,3.0 out of 5 stars,"Camera is Fair enough but battery backup is Little less .
","Average product
"
70,15 January 2019,2 people found this helpful,Yaseen Patel,5.0 out of 5 stars,"Like : Colour, quality, functions, camera
","Honor 9n awesome
"
71,22 July 2019,,Prashant Jha,5.0 out of 5 stars,"Found this phone best in its category. Overall design and EMUI exp. is fab. Camera quality is also good esp.in daylight. Asphalt plays well without any laga. Battery life=1day (5+hrs. Use)
","Best in its price range
"
72,18 May 2019,One person found this helpful,Oohanadh Konumu,4.0 out of 5 stars,"Simply superb except the battery life. Battery life is only 3000mAh. I find only this drawback. Otherwise, the Honor9N mobile is good to buy.
","Better mobile for that price range
"
73,29 June 2019,,Amazon Customer,4.0 out of 5 stars,"All the things I got fine n excellent only charger I could fing but not ear phone why I didn't understand while making delivery along with charger earphone should also accompany but that did not happen that's all
","Earphone was not sent along with charger
"
74,25 July 2019,,Shoaib,3.0 out of 5 stars,"I like its built quality.....& Dislike its camera quality in this price
","Camera quality not good....
"
75,23 July 2019,,Nav,4.0 out of 5 stars,"Fabulous for the price range given, looks stylish.
","Fabulous
"
76,3 August 2019,,Dukho,1.0 out of 5 stars,"Batery life not long... Rear camera disapoint... Finger print ok.Product and price doesnt match as price is high.. Product quality low
","Low quality products
"
77,20 July 2019,,Praveen,5.0 out of 5 stars,"Everything is fine but faces recognition is too slow .......... Any how it doesn't matter. The best mobile in this price range and battery backup is okPerformance is very good...😘😘
","Honor 9n the best one in this price range
"
78,4 August 2019,,dikchha gupta,5.0 out of 5 stars,"Fingerprint reader works well camera is good battery life is weak I can say for nowAll over good phone lacks in charging one time full charging gives maximum backup of 6-7hrs of now for me
","Overall good phone lacks in battery life
"
79,27 June 2019,,Karan.C,5.0 out of 5 stars,"Product is super and brand honor is always trust-able, Good quality camera and great gaming experiences
","Worth to Cost & STUNING
"
80,14 July 2019,,PRNB,5.0 out of 5 stars,"I like it as well as expecting to be fit for double sim.
","My Smart phone
"
81,1 August 2019,,Krunal Bhavsar,1.0 out of 5 stars,"It's a very worst product .. it's automatically switch off and switch on and I complained about the problems to Amazon service centre but I didn't get service by the Amazon ..they refused to return the product
","Worst product
"
82,27 June 2019,,Vikram Babu,5.0 out of 5 stars,"Do not believe in any of the negative remarks given in the past review. This Phone very good. It is double value for this price. The Camera is so good. No Lag on the Phone and it is smooth
","Very Good Phone
"
83,12 July 2019,,Alok,5.0 out of 5 stars,"Totally worth it!! 😍 It's just amazing this phone is just wonderful i liked it's camera and it's back is just classy😍 really if you want a classy mobile and affordable than its the best choice
","Loved it! Amazing
"
84,1 July 2019,,Ashwin Rai,4.0 out of 5 stars,"I think the battery power is not enough...Other function r good under this price.
","Battery!!!
"
85,26 July 2019,,Dhanunjaya Esukapalli,4.0 out of 5 stars,"Good for the price. Battery drains faster
","Good for the price. Battery drains faster
"
86,1 July 2019,,Sugunakanth,3.0 out of 5 stars,"Good mobile with limited features. I have used honor6x before to this mobile and it was very good in performance. This honor 9N I could easily identify the lag in operations.
","OK OK.. Not a great Mobile
"
87,1 August 2019,,ashok kumar r,1.0 out of 5 stars,"for me even touch feature is not working properly. Ask for replace amazon is not replacing and forcing to use with repair. see how it will happens.
","problem with this phone
"
88,16 June 2019,One person found this helpful,Guddu kumar Roy,4.0 out of 5 stars,"The Product Honer 9N phone is Very good, Nice looking for someone User HandFree Mobile......  ... ⭐⭐⭐🌟..
","Review :- Honer 9N Good👍 Mobile
"
89,20 July 2019,,MANISH CHAUHAN,5.0 out of 5 stars,"NICE, HANDY IN LOW PRICE....
","SIMPLY GREAT....
"
90,3 July 2019,,Prasad Bhasme,5.0 out of 5 stars,"Overall liked all features mentioned in product description. Makes u feel honoured 😊
","Get honoured with smartphone honor 9c
"
91,30 June 2019,,MOHIT SHARMA,5.0 out of 5 stars,"Very good phone at reasonable price
","Good phone at good price
"
92,1 August 2019,,Ravinder Koppu,2.0 out of 5 stars,"Really very slowly running it's like 2gb RMBattery life wrostThe phone loocks only beautiful in everything wrost
","Phone wrost
"
93,30 May 2019,One person found this helpful,Avinash Yashpal,5.0 out of 5 stars,"Good battery backup, solid display and fast processor
","Value for money
"
94,11 July 2019,One person found this helpful,Ramesh,1.0 out of 5 stars,"Battery capacity is not good mobile is automatically turn off touch is also not working properly
","You people must and should have better quality
"
95,7 July 2019,,Abc,1.0 out of 5 stars,"The app say the head seat present and 3500 power battery but the head phones are not available in the box and the battery capacity is only 3000 mah
","Complaint
"
96,27 May 2019,2 people found this helpful,Madhvi Gupta,5.0 out of 5 stars,"Fabulous
","Good
"
97,21 July 2019,,siva ganesh,4.0 out of 5 stars,"It's feature are very good. If you give more load it take some minutes. On my test its battery life without stand 6 hours while continues working. With Internet connection.
","Over all it is very good
"
98,17 July 2019,,Pradeep Singh Solanki,4.0 out of 5 stars,"Only Bettry life low but all is ok phone
","Good
"
99,5 June 2019,,kamaldoctor,4.0 out of 5 stars,"Nice in low budget mobile
","Nice
"
100,8 July 2019,,Cliente de Amazon,4.0 out of 5 stars,"It has only dual sim not memory card, or single sim with memory card slot, I didn't see the specification
","Ok
"
101,14 July 2019,,Amazon Customer,5.0 out of 5 stars,"Could get any other phone at this priceBut for basic use it is good
","Good
"
102,12 May 2019,,Bhavin Bhatti,5.0 out of 5 stars,"Excellent Mobile...At 8550 4gb rab 64gb internal memory
","Excellent Mobile
"
