,date,helpful,name,rating,review_body,review_title
103,23 June 2019,,Vishal,4.0 out of 5 stars,"Value for money but some times its applications not work well Bluetooth not work when that happens then I have to restart my device or it also have very old os and android version
","Fine
"
104,3 August 2019,,Nabajyoti bera,5.0 out of 5 stars,"good budge phone
","good budge phone
"
105,2 June 2019,,Amazon Customer,5.0 out of 5 stars,"A very good mobile phone.
","Honor 9N
"
106,15 July 2019,,Chandresh kumar,4.0 out of 5 stars,"Nice Product. Camera is little weak rest is good. Works well
","Nice Phone Under 10000
"
107,29 June 2019,One person found this helpful,Siva Subramanyam Kunam,1.0 out of 5 stars,"Touch is not working in middle of the screen and getting lot of heating
","Waste to buy it
"
108,2 August 2019,,ruchi malik,4.0 out of 5 stars,"Excellent mobile phone 📱 battery life is not good
","About nice 👍 phone
"
109,22 July 2019,,Sumit,5.0 out of 5 stars,"Got at 8999 4+64Quality is better than mi phonesDisplay face, recognition, camera and fingerprint scanner are awesome.Very handy and sexy look.
","Excellent
"
110,15 July 2019,,Nirmal K.,5.0 out of 5 stars,"Bought this phone again for another family member as its good and has no complaints
","Second phone
"
111,10 July 2019,2 people found this helpful,M,1.0 out of 5 stars,"No
","No
"
112,2 July 2019,,Adamya,5.0 out of 5 stars,"Very good phone in budget....Every thing is working nicely.The camera quality is awesome, battery life is also good. I am loving it.. Worth buying...Thanks to Amazon...
","Supurb Phone
"
113,30 June 2019,,Abhishek Raye,5.0 out of 5 stars,"Good phone
","Good phone
"
114,23 June 2019,,Ajay Rana,1.0 out of 5 stars,"I needed a dual 4g active phone but you selling the same description on all phone and I needed honour 10i lite but bought this. A mistake has done.
","Needed dual 4g Active
"
115,28 May 2019,,Md HuSsain,5.0 out of 5 stars,"Honor 9n Performance is very goodI thank the phone and the company for this, as well as Amazon Shopping Company.
","Thank you Amazon and Honor Company
"
116,24 June 2019,,Ashish,4.0 out of 5 stars,"Phone is very good with almost 1 day battery life, that is sufficientCamera is above avrageFingerprint Reader and face Recognition works smooth
","Value for money
"
117,1 August 2019,,Suresh Makwana,5.0 out of 5 stars,"Nice products
","Nice
"
118,29 July 2019,,Anandraj,4.0 out of 5 stars,"I like it
","It's okay
"
119,25 July 2019,,Jitender Sharma,1.0 out of 5 stars,"Phone is good but battery is very poor.. Camera is very bad n quality is very poor for pictures..don't waste ur money..not return policy only replacement
","Wrost product
"
120,11 May 2019,One person found this helpful,musthafa,1.0 out of 5 stars,"Bad prodect getting very slow & hanging
","Honer
"
121,7 August 2019,,Nandan Phansekar ,5.0 out of 5 stars,"Really happy with the phone at dis cost
","Thankyou Amazon and honour for low cost fully loaded phone  phone
"
122,27 May 2019,,Senju george,4.0 out of 5 stars,"Ok
","Ok
"
123,18 July 2019,One person found this helpful,Chandra,1.0 out of 5 stars,"High Battery drainage, very worst phone, we want to replace it.
","Poor battery performance mobile
"
124,30 July 2019,,Mueed,5.0 out of 5 stars,"Overall good
","Good
"
125,19 July 2019,One person found this helpful,Mo Haseen,1.0 out of 5 stars,"Not good product this device is bed quality return my product
","This device is very bed
"
126,27 June 2019,,vishnu agrawal,1.0 out of 5 stars,"I not able to download any app through play store. Called honor customer care thrice and thrice amazon but not reached any conclusion. Want to return this.
","Not able to download.
"
127,6 July 2019,,R Y Ganesh,4.0 out of 5 stars,"over all good
","Good phone
"
128,27 July 2019,,Amazon Customer,5.0 out of 5 stars,"SUPERB
","SUPERB
"
129,21 June 2019,,Jothimani S,5.0 out of 5 stars,"I love honor always.Best mobile among all.
","No 1 Honor
"
130,16 July 2019,One person found this helpful,Amazon Customer,1.0 out of 5 stars,"Very bad quality of camera and customer service of amazon executive
","Very bad experience with amazon on this order
"
131,21 June 2019,,Ashish Saxena,5.0 out of 5 stars,"Product is good but I did not get any discount of RS 1500 which was applicable with ICICI debit card.
","No cash back received
"
132,12 July 2019,One person found this helpful,Asifa Bagwan,1.0 out of 5 stars,"Poor battery life, Takes lots of time to charge, fast battery drain
","Go for another option
"
133,28 July 2019,,Masood,2.0 out of 5 stars,"Phone getting hot while playing a small game, battery is draining very quick and touch is worst then worst....Jaisa Paisa waisa model...
","Jaise Paise Waisi Service...
"
134,22 July 2019,,amrita mohanan nair,5.0 out of 5 stars,"No damage...super phone at low prices
","Wow
"
135,2 June 2019,,Genuine buyer,5.0 out of 5 stars,"No headset
","Good product
"
136,22 June 2019,,Suvojit Saha,4.0 out of 5 stars,"Camera is not good
","Not Bad
"
137,23 July 2019,,Sijimon.sd,4.0 out of 5 stars,"Today date 23/07/19 I am receiving the product. The manufacturing of product is August 2018...one year old product
","Old product
"
138,29 May 2019,,arun bhati,1.0 out of 5 stars,"Battery back up is not good, photo quality not good, configuration settings not set as required,
","Battery back up not good,
"
139,4 June 2019,,Baljeet,5.0 out of 5 stars,"Good
","Good
"
140,22 July 2019,One person found this helpful,Vijay sharma,1.0 out of 5 stars,"Quality is not good. Don't waste your money
","Waste of money
"
141,19 July 2019,,swapnil kumar,5.0 out of 5 stars,"Good product
","God
"
142,9 July 2019,,A k chimurkar,4.0 out of 5 stars,"Good looking phone , very handy but no pie update , needs improvement in in answering the call, waiting for pie update
","Good
"
143,30 July 2019,,Sushant,5.0 out of 5 stars,"Good phone at good price
","Good phone at good price
"
144,2 June 2019,,Pramod,5.0 out of 5 stars,"Working perfectly
","Working perfectly
"
145,29 June 2019,,Sooraj K.V.Manantheri,5.0 out of 5 stars,"Very good item and looks very cool
","Good product
"
146,21 July 2019,,Sandeep T,4.0 out of 5 stars,"Headset is mentioned in the includings but not given in the box
","No Headset
"
147,5 July 2019,,mukesh,5.0 out of 5 stars,"Ai is working well, good better life fingerprint recognition is fast.
","Better than MI PHONE
"
148,30 June 2019,,Neethusri,5.0 out of 5 stars,"Best under this price range... The camera works well and battery performance too... One stop for everything a person needs in a smart phone
","Worthy and a good product
"
149,23 May 2019,,Yuvaraj,1.0 out of 5 stars,"Requested for refund and return. Heat is produced more when charging the phone and playing vidoes. I would recommend not to buy this phone.
","Failure model
"
150,28 June 2019,,Arun Krishnan,5.0 out of 5 stars,"Nalla ph
","Kidilam
"
151,21 July 2019,,RITESH SINGH,4.0 out of 5 stars,"Product is OK.. It is worth for money but amazone delivery service is too late. Now amazone not acting like previous super fast delivery.
","Too much delivery time
"
152,24 June 2019,,Maruti Varaprasad,4.0 out of 5 stars,"Good
","Good
"
153,31 July 2019,,VIKAS MEENA,5.0 out of 5 stars,"Every features of this Phone is Amazing but the battery backup is not too good.
","Overall the performance and look of phone is outstanding
"
154,12 July 2019,,mitul patel,5.0 out of 5 stars,"Good phone not best because honor fail to battery and performance
","Its good not best.
"
155,25 July 2019,,Suman,4.0 out of 5 stars,"Ok
","Ok
"
156,17 July 2019,One person found this helpful,Prasanna,1.0 out of 5 stars,"Display is not good
","Same
"
157,10 July 2019,,Jadhav Trupti Prakash,5.0 out of 5 stars,"Best smartphone at lowest price.Amazing features.Loved it.
","Best Smartphone at this price range.
"
158,25 June 2019,,SUDIPA,5.0 out of 5 stars,"I got it for my mom and she loves it
","A good product for its price
"
159,10 June 2019,One person found this helpful,Amazon Customer,4.0 out of 5 stars,"Amazing phone for the price range
","Perfect
"
160,9 July 2019,,Amazon Customer,3.0 out of 5 stars,"Waste money on this mobile purchase. Bad camera quality, battery life is so small. And many other issues also it has.
","Honor 9N पैसा वेस्ट. It's cost can purchase very good quality product
"
161,21 July 2019,,ABHISHEK S.,5.0 out of 5 stars,"Well product by honor
","Nice phone
"
162,6 July 2019,,shristy,4.0 out of 5 stars,"It my first mobile phone so I liked it. It is easy to use or isme game mode bhi hai so Iiked it😁
","Love
"
163,21 July 2019,,mohan k b,5.0 out of 5 stars,"Good product
","Nice one
"
164,28 May 2019,,Amazon Customer,1.0 out of 5 stars,"Call gone directly without call.Phone n. Save but no so in contact list. Application automatically delete.
","Sofftwear not good
"
165,9 July 2019,,narendar,2.0 out of 5 stars,"Phone is heating whithin 30 min when using  Internet and not satisfied display size very short compair with other branded mobiles
","Heating problem and short size length
"
166,2 June 2019,,Abrar,3.0 out of 5 stars,"Back camera pixels are very poor it does not match with13 mp camera all waste of money and with this ears phn are also not there
","Back camera
"
167,15 June 2019,,Santhosh,3.0 out of 5 stars,"Not bad, heating some times like when I use Bluetooth, charging time and  gaming,I can give 3/5 rating for this product
","3/5 rating
"
168,1 August 2019,,KONDA SIVA RAMA PRASAD,5.0 out of 5 stars,"Excellent
","Excellent 👍
"
169,7 June 2019,,jubal,5.0 out of 5 stars,"Very gud mobile. No any issues yet. For this money its valuable
","Value for money
"
170,20 June 2019,,Amazon Customer,4.0 out of 5 stars,"Everything is nice go ahead n buy it.value for money I only trust huawei n to purchase only Amazon.
","Value n trust
"
171,23 June 2019,,Veeresh S.,2.0 out of 5 stars,"Phone is heating very fast. Charge is consuming very fast. I think totally no value for money. Bad product purchased ever...
","Very bad product
"
172,20 June 2019,,Vishnu N Rajan,2.0 out of 5 stars,"Display quality is poor. Touch response is Not impressive. 4GB +64 is the highlight but the device is not very fast
","Average Mobile
"
173,28 July 2019,,DHEERAJ KUMAR,3.0 out of 5 stars,"Battery back up not good net not work fast
","Looking good
"
174,28 July 2019,,Manish Togaria,3.0 out of 5 stars,"In this range thi is fine cellphone.You can purchase it.Battery,Camera and processing is good.
","A step for HONOR 9N
"
175,17 July 2019,One person found this helpful,rajeev ranjan rai,1.0 out of 5 stars,"Bad battery backup and bad rear camera
","Bad quality of camera and battery backup is low
"
176,30 June 2019,,Kapil,5.0 out of 5 stars,"Excellent device @ such a low cost 8999/-Only battery issue....
","Purchased my 4th HONOR phone..
"
177,21 May 2019,,Subhashish Gogoi,4.0 out of 5 stars,"Screen is a bit smaller. Rest all fine.
","All good but....
"
178,24 July 2019,,Amazon Customer,3.0 out of 5 stars,"Phone over all good but meger isu this phone battery fast drain and camra is not good
","Phone over all good but meger isu this phone battery fast drain and camra is not good
"
179,4 July 2019,,harshraj shukla,3.0 out of 5 stars,"Nice set
","Without 👂 ear fon
"
180,3 July 2019,,Ganesh,5.0 out of 5 stars,"Super mobile
","A good mobile for now generation
"
181,23 June 2019,,Nirmal p.,5.0 out of 5 stars,"One of the best phone ever, has a good processor and also good front camera. The battery life lasts for 19 to 20 hrs.
","Best phone
"
182,12 July 2019,,Ruvi,3.0 out of 5 stars,"Good design phone, but camera very disserpoint,poor batterypackup.. totally wast of money... no updating notification
","Design only super
"
183,5 July 2019,,Ramanjaneya,1.0 out of 5 stars,"Unwanted advertisement will appear on lock screen getting frustrated, changed all settings but still they are coming.
","Don't buy this
"
184,19 June 2019,,Amazon Customer,5.0 out of 5 stars,"Battery life better.
","Good product
"
185,12 May 2019,One person found this helpful,Asheesh Gupta,3.0 out of 5 stars,"In this phone dual 4G mode not support
","Not support 4G both sim
"
186,12 July 2019,One person found this helpful,Ramesh,1.0 out of 5 stars,"Good
","Good
"
187,17 June 2019,,Praveen,5.0 out of 5 stars,"Very good phone
","Superb phone
"
188,6 July 2019,,sandeep ,1.0 out of 5 stars,"This  product  was  Not goodSome  hanging prblm  on  this  hand set  and I project  my  prblm  bt  no  response
","It  was  not good bcz battery draining
"
189,21 July 2019,,Jayakumat,5.0 out of 5 stars,"Fantastic
","Superb
"
190,16 June 2019,One person found this helpful,Shaik ismail,5.0 out of 5 stars,"Good product
","Amazon exlent offers
"
191,12 August 2019,,Amazon Customer,5.0 out of 5 stars,"Good product
","Good product
"
192,28 June 2019,,Amazon Customer,4.0 out of 5 stars,"Overall good product, face recognition is smooth camera is also good. Overall a good buy
","Good product👍🏻
"
193,12 August 2019,,Rama Devi,5.0 out of 5 stars,"Product is super and simply user friendly. Description was met totally. Thankyou
","User friendly
"
194,11 July 2019,,Anuradha Narayanan,5.0 out of 5 stars,"Good product
","Review
"
195,11 July 2019,,Ramesh,5.0 out of 5 stars,"Good product
","Nice deal
"
196,21 July 2019,One person found this helpful,Vicky,1.0 out of 5 stars,"It's hybrid slot phone
","Hybrid alot
"
197,5 May 2019,,CHAYANK TIWARI,3.0 out of 5 stars,"Average
","Average
"
198,14 August 2019,,SUMITKUMAR MAHINDRA BINDHANI,5.0 out of 5 stars,"Ok
","Ok
"
199,27 July 2019,,Abhilash V.,3.0 out of 5 stars,"Quick charging is not there 3hrs required for charging and battery backup sooooo baddd
","Low quality product
"
200,18 July 2019,One person found this helpful,pavan kumar pathak,5.0 out of 5 stars,"Battery backup
","Battery backup
"
201,11 July 2019,,Manish kumar,5.0 out of 5 stars,"Good product
","Nice budget phone
"
202,24 June 2019,,Laxmisha Navunda,4.0 out of 5 stars,"GoOd
","Nice
"
203,22 July 2019,,Sabir Shaikh,1.0 out of 5 stars,"In few days only mobile is not taking charging. Service centre guy informed mother board was already damaged.
","Mobile's mother board was already worst
"
204,29 June 2019,,Piyush sikarwar,4.0 out of 5 stars,"Camera was good but the battery  life was very bad.. We can't use it for A day in A single charging.
","Gud for camera lover but get ready to carry a power bank
"
205,11 July 2019,One person found this helpful,Rksingh,1.0 out of 5 stars,"No like this
","Very bad product I do not satisfied very system
"
206,26 July 2019,,Amazon Customer,4.0 out of 5 stars,"Superub phone with less price more benefits camera photos & video quality super👌👌
","Less price more benefits
"
207,11 July 2019,,shubham srvastava,5.0 out of 5 stars,"Mi is always bring good and product is awesome
","Good Product with low budget
"
208,30 July 2019,,kishor,2.0 out of 5 stars,"I faced battery backup issue with in a week don't go with this mobile2.mobile is getting heat
","Battery issue and heating issue
"
209,18 July 2019,,Amazon Customer,3.0 out of 5 stars,"Small budget?Don't worry this Mobile will fulfill all your smart needs
","Best valued
"
210,15 June 2019,,Amazon Customer,5.0 out of 5 stars,"Best phone in this price range...looks absolutely fantastic
","Great phone in this price
"
211,17 July 2019,,Vangmai,5.0 out of 5 stars,"Colour resolution is superb, camera is k, size and handling is superb, battery is nt so gd
","Simply great phone
"
212,26 June 2019,,ARYAN S,1.0 out of 5 stars,"Battery km chalti h or charge late hota h or hang hota h application stop ho jaati h running time pe......
","Battery problem, charging problem, hang device problem
"
213,2 August 2019,,K. Nawas,5.0 out of 5 stars,"Supar
","Super
"
214,30 July 2019,,Jagadeesh Yadlapalli,5.0 out of 5 stars,"Worth
","Value for money
"
215,13 June 2019,One person found this helpful,Boreddy b.,5.0 out of 5 stars,"Value for money
","Super
"
216,7 August 2019,,Sai cherry,4.0 out of 5 stars,"Battery Discharging Soon
","Average
"
217,16 July 2019,One person found this helpful,.....,1.0 out of 5 stars,"Nt good in performance
","Worst phone
"
218,9 August 2019,,prudhvi,4.0 out of 5 stars,"Nyc product... Best in this price😍Battery need to be improved... That's it no other issues found
","Honor 9n review
"
219,19 June 2019,,kusuma vasapalli,5.0 out of 5 stars,"Nice my sister loves it
","Value for money
"
220,7 July 2019,,adnan,3.0 out of 5 stars,"Average
","Average
"
221,28 July 2019,,jagan,5.0 out of 5 stars,"Product is good and working wellPerformance and look are awesome
","Good product
"
222,10 July 2019,,Abhinay,5.0 out of 5 stars,"It's a nice phone in budget, has a good camera, screen is quite good.
","Good
"
223,13 August 2019,,bhavesh,4.0 out of 5 stars,"evereg
","best price in range
"
224,17 July 2019,,pyreji,5.0 out of 5 stars,"Value for money
","Very good
"
225,22 July 2019,,firas,4.0 out of 5 stars,"Camera quality not as portrayed.
","Screen size is alot smaller than expected!!
"
226,27 June 2019,,Jai,5.0 out of 5 stars,"The design of the phone with the notch is very good. Value for money mobile
","Recommend for people who want phone below 10k
"
227,2 August 2019,,Manirul Md,4.0 out of 5 stars,"Nice
","Fully satisfied
"
228,22 July 2019,,Rakesh Chand Thakur,5.0 out of 5 stars,"Good phone in range
","Excellent
"
229,30 July 2019,,NAGESH. P,5.0 out of 5 stars,"Amazon good quality service and thank for allAmazing and excellent performance this honor 9n
","honor camera and all preferences  very nice and excellent
"
230,30 July 2019,,Gobal GP,3.0 out of 5 stars,"Ok for this budget phone
","Best in this budget
"
231,10 July 2019,One person found this helpful,Abhijeet,2.0 out of 5 stars,"Not good
","Much better
"
232,28 July 2019,,Soumen D.,4.0 out of 5 stars,"Good phone in low-medium cost.
","Good phone
"
233,24 May 2019,,nafees,4.0 out of 5 stars,"Ok
","Ok
"
234,21 June 2019,,Manpreet,5.0 out of 5 stars,"I liked the design and performance of this phone under this price
","Nice phone under this price segment
"
235,11 July 2019,,Brijendra Singh Tomar,3.0 out of 5 stars,"Ok
","Ok
"
236,29 July 2019,,Pavan,4.0 out of 5 stars,"👌
","Value for money
"
237,20 July 2019,,Mayanktrivedi,5.0 out of 5 stars,"Beautiful phone with in this price range.  Camera quality is superb and it's very lite in weight.
","I like the phone
"
238,15 July 2019,One person found this helpful,JAGDISH,1.0 out of 5 stars,"Data cable change
","ripalce
"
239,23 December 2018,One person found this helpful,preethi,5.0 out of 5 stars,"I like material quality
","Nice
"
240,24 July 2019,,Amazon Customer,5.0 out of 5 stars,"Excellent mobile
","God mobile
"
241,27 June 2019,,Vinod Sundaram,5.0 out of 5 stars,"Super
","Super
"
242,28 May 2019,,D.suneel,5.0 out of 5 stars,"Good
","Good
"
243,31 May 2019,,Anit tiwari,5.0 out of 5 stars,"Looking smartTouch very fast workBattery life long time period at 8 to 12 hour on net open
","Best price phone thanks Amazon
"
244,11 July 2019,One person found this helpful,Rajesh,1.0 out of 5 stars,"Not ok
","Donot use this mobile
"
245,13 July 2019,,ravi,3.0 out of 5 stars,"Overall a fair phone
","Fair phone
"
246,18 June 2019,,Nadeem Raza Azhari,3.0 out of 5 stars,"3.5
","Thik thak
"
247,2 July 2019,,K Suresh,5.0 out of 5 stars,"Excellent and premium looking phone below 10k
","Excellent and premium looking
"
248,1 August 2019,,Karthik,5.0 out of 5 stars,"This is my third purchase.. Best budget phone
","Best budget phine
"
249,17 April 2019,One person found this helpful,Rohit,1.0 out of 5 stars,"Dilike
","Heating problem when using internet
"
250,15 August 2019,,Amazon Customer,1.0 out of 5 stars,"Slow charging. Quick discharged. Battery, processor is Precambrian.
","Don't buy
"
251,31 May 2019,,Muthu,3.0 out of 5 stars,"Camera quality is very poor and picture pixel is very poor fonts is very small not visible contacts
","Very poor camera quality
"
252,3 July 2019,,Sankalp parashar,5.0 out of 5 stars,"Amazing phone but battery capacity must be improved
","Nice one
"
253,22 July 2019,,Shankar,3.0 out of 5 stars,"Battery need increase withstand time to improve and ram process not look like good
","Slowly working phone
"
254,28 June 2019,,Akhil,5.0 out of 5 stars,"as per shown in the pic
","excellent
"
255,3 July 2019,,Vikas Mittal,3.0 out of 5 stars,"You can go for it. Nice budget phone.
","Worth for price
"
256,26 June 2019,,Amit Singh,4.0 out of 5 stars,"Good phone
","Good for this price range
"
257,2 July 2019,,Anandhu ss,1.0 out of 5 stars,"Waste of money.battery is very poor.get another from this budget with more specifications
","Poor
"
258,25 May 2019,,Amazon Customer,1.0 out of 5 stars,"Samsung level u Bluetooth is not supported.Amazon is worst with their return policy
","Worst amazon
"
259,16 June 2019,,moin,5.0 out of 5 stars,"Comfortable for normal users
","Excellent
"
260,12 July 2019,One person found this helpful,Bad quality,1.0 out of 5 stars,"Very bad
","Bad item poor quality
"
261,10 July 2019,,Dilsher S.,5.0 out of 5 stars,"The very best phone ,company ,quality face recognition is  very  fast do buy it
","Best phone
"
262,7 July 2019,,satya s.,5.0 out of 5 stars,"Good
","Super
"
263,21 June 2019,,George Varghese,5.0 out of 5 stars,"value for money. prompt service.
","Excellent product
"
264,19 July 2019,,leela lovely,2.0 out of 5 stars,"I have booked 128 GB,but I received 64 GB...I have lossed 1000 rupees
","Loss 1000
"
265,25 July 2019,,mukesh Saini ,4.0 out of 5 stars,"Nice product
","Value of money
"
266,24 July 2019,,Vignesh,5.0 out of 5 stars,"Good mobile
","Customer
"
267,7 July 2019,,Madhu,4.0 out of 5 stars,"I need an invoice to get warranty for the product.  I dont have the invoice.
","Invoice
"
268,24 July 2019,,shankar,4.0 out of 5 stars,"Goood
","Good
"
269,22 July 2019,,Karthik,5.0 out of 5 stars,"Good phone
","Good
"
270,3 July 2019,,Ritesh,5.0 out of 5 stars,"Itne price me theek hai ya theek se thoda uper hai.
","Achha hai.
"
271,14 July 2019,,Sivakumar,5.0 out of 5 stars,"Nice
","Nice
"
272,8 June 2019,,Prakash Chandra,5.0 out of 5 stars,"Good phone in best price... delivered on time.. Thanks Amazon!!!!
","Best phone in good price....
"
273,24 July 2019,,Shreya,4.0 out of 5 stars,"Face recognition not works everytime
","Battery is weak
"
274,5 July 2019,,Sarita,5.0 out of 5 stars,"Wonderful .. I love it
","I suggest to purchase 👍🏻
"
275,2 August 2019,,Kaybee,5.0 out of 5 stars,"Liked
","Perfect
"
276,21 June 2019,,vamsi gorojanam,5.0 out of 5 stars,"Very good
","Very good
"
277,6 June 2019,,shivani awasthy,5.0 out of 5 stars,"Picture quality
","Picture quality
"
278,17 July 2019,,Siva Kumar,5.0 out of 5 stars,"Nice, worth the price..
","Nice, worth the price..
"
279,26 June 2019,,hakeem tajamul,4.0 out of 5 stars,"seems good just using it from 1 day
","good product
"
280,26 June 2019,,Indiransuresh,5.0 out of 5 stars,"Superb mobile
","Nice product
"
281,25 June 2019,,KAMLESH KUMAR,4.0 out of 5 stars,"good value of money
","good deal
"
282,20 June 2019,,Amazon Customer,4.0 out of 5 stars,"No problem till now
","Good phone
"
283,30 June 2019,,Manoj,3.0 out of 5 stars,"The battery is too weak and dual slot not operations is not comfortable
","Battery low
"
284,3 July 2019,,Sweta sinha ,4.0 out of 5 stars,"Camera quality is not that much good .. sometimes it stops working.battery life
","Face recognition
"
285,25 June 2019,,Shaikh Rehman,5.0 out of 5 stars,"Mobile is good... I like mobile look body..... but battery life is no longer :)
","Honor9n
"
286,5 July 2019,,Sachin,5.0 out of 5 stars,"Camera
","Very good
"
287,27 July 2019,,Shridhar,5.0 out of 5 stars,"Good product
","Super
"
288,13 July 2019,,ganesh,5.0 out of 5 stars,"Nice product with minimum budget
","Budget mobile with good specifications
"
289,19 July 2019,,Amazon Customer,5.0 out of 5 stars,"Battery so less..otherwise good..
","Excelent
"
290,25 May 2019,,Chhagan c.,4.0 out of 5 stars,"SirIt becomes battery  hot such that we cannot hold it in our hand
","Normal phone
"
291,18 July 2019,,Amazon Customer,5.0 out of 5 stars,"Awsm❤️❤️❤️my fam owns two honor 9n..........i just love its back side
","Love
"
292,25 March 2019,One person found this helpful,prabhakaran ,5.0 out of 5 stars,"Good
","good
"
293,4 July 2019,,Lalchand saini,5.0 out of 5 stars,"Good
","Good
"
294,12 July 2019,,Rama Krishna K,5.0 out of 5 stars,"Like
","In time
"
295,3 August 2019,,Kandavelan P,5.0 out of 5 stars,"Excellent
","Very nice product at this price
"
296,2 June 2019,,Amazon Customer,5.0 out of 5 stars,"Good
","Good
"
297,14 August 2019,,PRAVIN B. PATEKAR,5.0 out of 5 stars,"It’s reliable and cost effective...
","Awesome product
"
298,29 July 2019,,Deepak Negi,5.0 out of 5 stars,"Camera quality is best,nice Phone, fingerprint reader is so great
","Nice look and nice Phone
"
299,20 July 2019,,aditya,4.0 out of 5 stars,"Some times it gets worse hang but it perfect phone for low budget overall
","Nice  but it would be much better
"
300,28 July 2019,,Amazon Customer,5.0 out of 5 stars,"Battery goes down fast that's it.
","Good mobile.
"
301,8 July 2019,,prasanth,5.0 out of 5 stars,"Good product
","Very nise
"
302,11 July 2019,,Krishna Prasad Reddy Y,4.0 out of 5 stars,"Everything is OK, not too much bad, not too good it's OK
","It's OK
"
303,8 June 2019,,Anupam Dutta,4.0 out of 5 stars,"Excellent working. Camera is too good. Processor is fast enough.
","Good phone
"
304,3 July 2019,,Pankaj mewara,1.0 out of 5 stars,"Very bad quality,and very bad processor...🤨🤨Not working good....
","I want to changehonor 9n...
"
305,4 July 2019,,Ravi Nimbalkar pune,4.0 out of 5 stars,"Android EMUI 8.0.0 versionNo updated versionNeed Update ....
","Need Update...
"
306,17 July 2019,,Amazon Customer,5.0 out of 5 stars,"Best Phone at this Price!
","Just Go for it!
"
307,15 June 2019,,ramachandrarao,5.0 out of 5 stars,"Super phone
","Paisa vasul
"
308,31 July 2019,,Anwarul Haque,4.0 out of 5 stars,"Camera could be better and bettery life also not enough
","Camera could be better and bettery life also not enough
"
309,1 July 2019,,Vinothraja,5.0 out of 5 stars,"My phone missing headphones in this box
","My phone missing headphones in this box
"
310,2 July 2019,,Ranjithkumar,4.0 out of 5 stars,"Overall good, weight low, camara supper
","Woww
"
311,31 July 2019,,Aman verma,5.0 out of 5 stars,"Good
","Good
"
312,14 July 2019,,Sunil kumar,5.0 out of 5 stars,"It has a good speed  ,great battery life .....
","Worth of money
"
313,30 July 2019,,Suyash uttekar,5.0 out of 5 stars,"HD display n fingerprint reader are best but battery life are not best
","Honor
"
314,8 June 2019,,Rakesh kumar,3.0 out of 5 stars,"Ff9
","Look wise not good..
"
315,25 June 2019,,Nagateja.p,4.0 out of 5 stars,"Best in its price range
","Best in its price range
"
316,13 August 2019,,Jagadish,5.0 out of 5 stars,"Good, nice phone
","Very good
"
317,26 June 2019,,jai,5.0 out of 5 stars,"Good product and friendly use.
","Satisfied
"
318,9 July 2019,,Deepshikha ,4.0 out of 5 stars,"This product is very nice i like this product
","Perfect honor
"
319,9 July 2019,,suresh,2.0 out of 5 stars,"The company should give more Bettany backup and screen saver
","Need more good quality
"
320,29 June 2019,,Amazon Customer,4.0 out of 5 stars,"Good product at better price.
","Best price
"
321,28 June 2019,,Shiva Kumar Bommakanti,1.0 out of 5 stars,"Pls don't buy this product..  It's waste of money in simple terms...
","Worst product
"
322,26 July 2019,,Bhanu prasad Reddy ,4.0 out of 5 stars,"Phone condition is good but headset is not available  with the phone
","Headset not available with the phone
"
323,24 June 2019,,shiva,5.0 out of 5 stars,"Exallent
","Out of 5
"
324,20 July 2019,,Amazon Customer,5.0 out of 5 stars,"So far very satisfied
","Best for the price
"
325,20 July 2019,,Ankit Kumar,5.0 out of 5 stars,"Totally meet my expectations
","Nice phone
"
326,20 June 2019,,Amazon Customer,5.0 out of 5 stars,"Worth for its price. The built of the product is fantastic.
","Best at this pricing
"
327,19 June 2019,,Ud ubaid,5.0 out of 5 stars,"Good phone but call call voice quality improvement required
","Good phone
"
328,28 June 2019,,manish s.,5.0 out of 5 stars,"awesome
","Wesome
"
329,22 July 2019,,DILLIP,2.0 out of 5 stars,"No fast charging, display is not hd
","Just ok
"
